list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2024-10-17,199900,2024-12-20,206000,3,1.0,1357,5881,Saint Paul,1609 7th St E,55106,44.966998,-93.032407
2024-10-31,389900,2024-12-10,389900,3,2.0,2005,5227,Saint Paul,1591 Huron St,55108,44.989143,-93.155659
2024-12-11,229900,2025-01-21,230000,2,1.0,1128,6360,Saint Paul,2067 Fremont Ave E,55119,44.95789,-93.013125
2025-01-30,324800,2025-03-10,340000,3,2.0,1565,5750,Saint Paul,567 Pelham Blvd,55104,44.957677,-93.200585
2025-03-07,315000,2025-04-18,330000,4,2.5,2336,5053,Saint Paul,277 Winifred St E,55107,44.930319,-93.072462
,,2025-02-04,325000,3,2.0,1008,16065,Saint Paul,1305 Maryland Ave E,55106,44.977789,-93.045128
2024-08-22,945000,2025-03-13,915000,6,3.5,4538,15594,Saint Paul,794 Linwood Ave,55105,44.934415,-93.133525
,,2025-02-13,139000,3,1.0,862,5097,Saint Paul,1299 Marion St,55117,44.980307,-93.110095
2025-03-19,350000,2025-05-09,420000,2,2.0,1478,22433,Saint Paul,604 Lexington Pkwy S,55116,44.923217,-93.14592
2025-01-17,250000,2025-03-21,250000,4,1.5,1885,4792,Saint Paul,1048 Conway St,55106,44.955605,-93.05628
2025-02-18,265000,2025-03-28,285000,3,1.5,1183,3659,Saint Paul,1415 Taylor Ave W,55104,44.967977,-93.160031
2025-01-14,500000,2025-02-20,550000,3,2.0,2047,6098,Saint Paul,1132 Montana Ave W,55108,44.987206,-93.147689
2024-12-24,309900,2025-04-29,305000,3,2.0,1934,7275,Saint Paul,1030 Larpenteur Ave W,55113,44.991636,-93.143661
,,2025-01-08,250000,3,1.0,900,6499,Saint Paul,1265 Folsom St,55117,44.979321,-93.133074
,,2025-05-06,497500,5,4.0,2810,15000,Saint Paul,2032 Oakridge St,55119,44.921609,-93.014514
2025-01-25,475000,2025-04-18,444000,5,3.0,2780,8538,Saint Paul,654 Orange Ave E,55106,44.979002,-93.07279
,,2025-04-29,267000,3,2.0,1504,6011,Saint Paul,986 Germain Ct,55106,44.971254,-93.032859
2024-10-21,619000,2025-02-26,590000,5,3.0,2601,4792,Saint Paul,1133 Palace Ave,55105,44.929007,-93.147987
2025-02-22,449900,2025-04-10,470000,3,2.0,1642,5968,Saint Paul,884 Ashland Ave,55104,44.943625,-93.137483
2025-02-20,244900,2025-04-15,245000,2,1.0,680,5227,Saint Paul,1830 Nebraska Ave E,55119,44.986274,-93.02308
2025-05-02,1950000,2025-05-02,1600000,3,2.5,2916,45564,Saint Paul,1630 Edgcumbe Rd,55116,44.914279,-93.151183
,,2025-04-29,264000,3,1.0,998,6055,Saint Paul,1691 4th St E,55106,44.958842,-93.029067
2024-09-20,309900,2024-12-23,273000,6,3.0,2374,7144,Saint Paul,234 Kennard St,55106,44.946925,-93.029886
2024-12-20,399900,2025-05-14,380000,3,1.0,1567,5097,Saint Paul,1847 Berkeley Ave,55105,44.933642,-93.178527
2025-01-09,285000,2025-02-27,290000,3,1.0,1251,6970,Saint Paul,2149 Fremont Ave E,55119,44.957893,-93.009827
2025-02-27,1070000,2025-04-18,1050000,4,3.5,3541,5924,Saint Paul,2230 Princeton Ave,55105,44.93586,-93.194864
2025-04-07,439900,2025-05-01,453000,4,2.0,2107,5053,Saint Paul,2011 James Ave,55105,44.928224,-93.185334
2025-02-28,330000,2025-04-04,339000,3,2.0,1524,7405,Saint Paul,688 Nebraska Ave E,55106,44.986252,-93.071553
2025-04-21,460000,2025-05-16,478000,4,3.0,2186,8930,Saint Paul,1464 Laurel Ave,55104,44.944706,-93.162114
2025-03-25,495000,2025-04-25,530000,3,2.0,1776,4922,Saint Paul,1415 Wellesley Ave,55105,44.931769,-93.160044
2025-03-05,335000,2025-04-28,345000,3,2.0,1310,14549,Saint Paul,640 Iowa Ave W,55117,44.98864,-93.127379
2025-01-09,299900,2025-02-11,333000,3,1.5,1637,5881,Saint Paul,999 Armstrong Ave,55102,44.925317,-93.14238
2025-03-13,250000,2025-05-15,265000,3,1.0,1226,4792,Saint Paul,1117 Jenks Ave,55106,44.971497,-93.053479
2025-03-21,159900,2025-04-28,165000,1,1.0,814,4966,Saint Paul,622 Wells St,55130,44.967273,-93.074369
2025-03-20,294900,2025-05-05,302000,3,2.0,1850,5140,Saint Paul,1985 4th St E,55119,44.958815,-93.016573
2024-10-21,359000,2025-01-24,340000,5,2.0,2240,6534,Saint Paul,1233 Prosperity Ave,55106,44.978727,-93.040014
2025-02-13,750000,2025-03-24,765000,3,1.5,2670,6011,Saint Paul,2294 Saint Clair Ave,55105,44.934048,-93.197256
2025-02-06,259900,2025-04-25,270000,3,1.5,1200,4487,Saint Paul,1133 Jackson St,55117,44.975118,-93.09673
2024-11-04,185000,2024-12-19,182000,2,1.0,682,1699,Saint Paul,559 Elfelt St,55103,44.958092,-93.112234
2024-11-19,240000,2024-12-30,227450,2,1.0,858,4792,Saint Paul,1528 Canfield Ave,55108,44.979791,-93.164897
2025-01-27,265000,2025-03-12,301000,2,1.0,732,6752,Saint Paul,815 Iowa Ave W,55117,44.989337,-93.13419
2025-03-04,297000,2025-04-10,309000,3,2.0,1418,4966,Saint Paul,781 Howell St N,55104,44.964694,-93.181411
2024-11-04,279900,2025-02-12,299000,3,1.0,1262,4617,Saint Paul,805 Cherokee Ave,55107,44.921886,-93.104983
2024-12-09,210000,2025-04-30,209000,2,1.0,1060,5053,Saint Paul,1690 Bush Ave,55106,44.964673,-93.029134
2025-03-26,215000,2025-05-08,250000,4,2.0,1914,4487,Saint Paul,935 Jenks Ave,55106,44.971484,-93.06122
2025-04-26,150000,2025-05-23,150000,3,1.0,1415,5271,Saint Paul,1005 Galtier St,55117,44.971651,-93.11143
2025-04-23,250000,2025-05-27,270000,3,1.0,1067,5009,Saint Paul,1259 Hubbard Ave,55104,44.965922,-93.153301
2025-03-29,274900,2025-05-23,291278,4,2.0,1948,5445,Saint Paul,1278 Woodbridge St,55117,44.979692,-93.108102
2025-04-18,289900,2025-05-12,296000,3,1.0,1400,6665,Saint Paul,1531 Alameda St,55117,44.987229,-93.130339
2025-04-28,300000,2025-06-05,320000,3,2.0,1680,6098,Saint Paul,1055 Wakefield Ave,55106,44.953441,-93.055942
2025-05-07,455000,2025-06-06,458690,3,2.5,1820,6621,Saint Paul,1599 Griggs St N,55108,44.989515,-93.150508
