sale_date,sale_price,latitude,longitude,city,zoning,subdivision,present_use,land_val,imp_val,year_built,sqft_lot,sqft,stories,beds,bath_full,wfnt,golf,greenbelt,noise_traffic,view_rainier,view_olympics,view_cascades,view_territorial,view_skyline,view_sound,view_lakewash,view_lakesamm
2020-10-26,4500000,47.6482670052836,-122.163751591738,BELLEVUE,R-1,,2,221000,211000,1957,53143,2550,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,3025000,47.6449324829667,-122.178130477716,BELLEVUE,R-1,PIKES PEAK 2ND ADD,2,196000,234000,1956,51400,2180,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,3026000,47.6343241430515,-122.19675757447,BELLEVUE,R-4,APPLE VALLEY HOMES NO. 02,2,140000,88000,1954,11400,1540,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,1837500,47.775221396931,-122.135014669138,WOODINVILLE,R-1,SUMMERS ADD,2,59400,62200,1922,429066,1060,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,3600000,47.6294971405231,-122.206153836697,BELLEVUE,R-4,WOODMERE ADD NO. 02,2,150000,93000,1953,10125,1680,1.0,4,1,0,0,0,0,0,0,2,0,0,0,0,0
2020-11-30,3410000,47.597699897021,-122.200411342074,BELLEVUE,R-4,HAWKINSONS R A ADD,2,160000,67000,1947,12150,1310,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,3400000,47.7695646802179,-122.124046431033,WOODINVILLE,R-1,,2,131000,101000,1955,81892,1840,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,520000,47.4667522366133,-122.212186439325,RENTON,R-8,RENTON VIEW ADD,2,43000,81000,1936,12000,580,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,2400000,47.5854854050109,-122.194643749635,BELLEVUE,R-4,FAILORS ENATAI GARDENS NO. 02,2,180000,91000,1954,9315,1600,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,5050000,47.6371709258863,-122.207400286162,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,175000,175000,1956,16320,3720,1.0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,3299990,47.6313109318642,-122.204263429611,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 01,2,150000,112000,1953,8442,1830,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,2550000,47.5987667254977,-122.197042753687,BELLEVUE,R-4,,2,135000,101000,1949,21250,1630,1.0,4,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-02-01,2900000,47.5872106304721,-122.202182447971,BELLEVUE,R-4,,2,170000,97000,1954,17900,1700,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,750000,47.4818899842129,-122.34144159242,BURIEN,R-6,HOLLYHURST RPLT OF  MARSHALLS LK B TRS,2,45000,72000,1928,8121,1430,1.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-25,2999950,47.6338978435684,-122.192100294901,BELLEVUE,R-1,BELLEWOOD FARM NO. 02,2,160000,169000,1953,19000,2130,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,3550000,47.6324555397216,-122.199257197069,BELLEVUE,R-4,APPLE VALLEY HOMES ADD,2,150000,123000,1952,10695,1760,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-28,2815000,47.6039371768657,-122.193966596824,BELLEVUE,R-4,SURREY DOWNS NO. 01 REPLAT POR OF,2,130000,120000,1964,9450,1830,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,3330000,47.7656087758613,-122.129781624274,WOODINVILLE,R-1,,2,124000,8000,1962,71002,390,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,1010000,47.5249714621194,-122.192946990966,RENTON,R-8,HILLMANS LAKE WASH GARDEN OF EDEN NO. 07,2,105000,40000,1928,75358,800,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-27,4471000,47.5920330097213,-122.233255981734,MERCER ISLAND,R-12,MC GILVRAS ISLAND ADD,2,252000,186000,1918,29600,2960,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-12,3250000,47.5828622571104,-122.192987711507,BELLEVUE,R-4,HOLLY HILL ADD,2,180000,71000,1955,10200,1310,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-20,3530000,47.6262814148439,-122.196828210084,BELLEVUE,R-4,ODLE PARK ADD,2,150000,68000,1958,9112,1180,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,2450000,47.6041800536757,-122.169075442168,BELLEVUE,R-4,HERITAGE LANE NO. 01,2,97000,94000,1967,7245,1550,1.0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-08,4150000,47.6376979174289,-122.208823421663,BELLEVUE,R-4,SUMMIT PLACE 2ND ADD,2,150000,118000,1952,10200,2010,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,2675000,47.6242697495348,-122.195979199114,BELLEVUE,R-4,,2,125000,72000,1963,9600,1460,1.0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-20,1625000,47.5273531856572,-122.200905594412,RENTON,R-8,HILLMANS LAKE WASH GARDEN OF EDEN NO. 02,2,80000,81000,1969,7760,1140,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,3850000,47.5858507900135,-122.192864667918,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 02,2,180000,68000,1955,9800,1270,1.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-06,990000,47.4661634316238,-122.358696565596,BURIEN,R-12,DASHLEYS W A LAKE ADD,2,61000,46000,1943,8040,720,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-15,3700000,47.5835245627963,-122.194029871446,BELLEVUE,R-4,FAILORS ENATAI GARDENS NO. 02,2,105000,35300,1950,12150,1620,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-12,4430000,47.6316874109501,-122.204519881483,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 01,2,135000,81000,1968,8442,1500,1.0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-07-23,4350000,47.6313260066472,-122.205535167087,BELLEVUE,R-4,BELLEVUE REALTY ADD NO. 01,2,150000,94000,1953,8442,1700,1.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,2780000,47.5819560164706,-122.193924221978,BELLEVUE,R-4,FAILORS ENATAI GARDENS ADD,2,175000,66000,1959,8100,980,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,5600000,47.6285773136925,-122.19713376781,BELLEVUE,R-1,DIAMOND S RANCH THE,2,435000,156000,1950,82764,2900,1.0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-28,2950000,47.5844402383896,-122.195380208467,BELLEVUE,R-4,FAILORS ENATAI GARDENS NO. 02,2,180000,70000,1951,8775,1320,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02,3700000,47.6321387394589,-122.198911479445,BELLEVUE,R-4,APPLE VALLEY HOMES NO. 02,2,125000,91000,1954,10350,1680,1.0,3,1,0,0,0,2,0,0,0,0,0,0,0,0
2021-08-02,3650000,47.602842017077,-122.167069355779,BELLEVUE,R-4,HERITAGE LANE NO. 01,2,131000,147000,1965,7875,2250,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-09,5288000,47.6390754973462,-122.161209158521,BELLEVUE,R-1,,2,270000,138000,1958,67518,2000,1.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-16,2700000,47.4640151013698,-122.356903271122,BURIEN,R-6,,2,185000,207000,1949,15240,2510,1.0,4,1,8,0,0,0,0,0,0,0,0,0,0,0
