list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2024-10-21,619000,2025-02-26,590000,5,3,2601,4792,Saint Paul,1133 Palace Ave,55105,44.929007,-93.147987
2024-11-15,465000,2024-12-20,465000,4,2.5,2284,9191,Saint Paul,117 Elizabeth St W,55107,44.927367,-93.090412
2025-02-14,679000,2025-04-15,692580,4,4,3556,4792,Saint Paul,397 Ashland Ave,55102,44.944575,-93.116781
2024-09-20,309900,2024-12-23,273000,6,3,2374,7144,Saint Paul,234 Kennard St,55106,44.946925,-93.029886
2025-02-20,244900,2025-04-15,245000,2,1,680,5227,Saint Paul,1830 Nebraska Ave E,55119,44.986274,-93.02308
,,2025-04-29,264000,3,1,998,6055,Saint Paul,1691 4th St E,55106,44.958842,-93.029067
2025-02-22,449900,2025-04-10,470000,3,2,1642,5968,Saint Paul,884 Ashland Ave,55104,44.943625,-93.137483
,,2025-04-29,267000,3,2,1504,6011,Saint Paul,986 Germain Ct,55106,44.971254,-93.032859
2025-01-25,475000,2025-04-18,444000,5,3,2780,8538,Saint Paul,654 Orange Ave E,55106,44.979002,-93.07279
2024-10-16,237000,2025-02-14,237000,3,2,1200,4792,Saint Paul,984 Cook Ave E,55106,44.972759,-93.058994
2025-02-20,349900,2025-04-04,350000,3,1,1386,6970,Saint Paul,1131 Norbert Ln,55116,44.907666,-93.182033
,,2025-04-17,159900,3,1.5,1047,5001,Saint Paul,782 Cook Ave E,55106,44.972737,-93.067406
2024-11-19,269500,2025-01-23,255500,3,2,1772,6708,Saint Paul,1138 Flandrau St,55106,44.975642,-93.027463
2024-11-14,165000,2024-12-18,180000,3,1,997,4922,Saint Paul,1378 Lafond Ave,55104,44.95996,-93.158406
2024-12-24,309900,2025-04-29,305000,3,2,1934,7275,Saint Paul,1030 Larpenteur Ave W,55113,44.991636,-93.143661
2025-02-27,1070000,2025-04-18,1050000,4,3.5,3541,5924,Saint Paul,2230 Princeton Ave,55105,44.93586,-93.194864
2025-05-02,1950000,2025-05-02,1600000,3,2.5,2916,45564,Saint Paul,1630 Edgcumbe Rd,55116,44.914279,-93.151183
2024-12-09,210000,2025-04-30,209000,2,1,1060,5053,Saint Paul,1690 Bush Ave,55106,44.964673,-93.029134
2024-11-19,240000,2024-12-30,227450,2,1,858,4792,Saint Paul,1528 Canfield Ave,55108,44.979791,-93.164897
2025-02-06,259900,2025-04-25,270000,3,1.5,1200,4487,Saint Paul,1133 Jackson St,55117,44.975118,-93.09673
2025-01-13,309999,2025-02-20,335000,3,2,1680,9278,Saint Paul,1668 Clear Ave,55106,44.981782,-93.029915
2024-11-04,185000,2024-12-19,182000,2,1,682,1699,Saint Paul,559 Elfelt St,55103,44.958092,-93.112234
2025-03-06,214900,2025-04-14,230000,2,2,763,6098,Saint Paul,2072 Case Ave E,55119,44.970036,-93.013181
2025-01-27,265000,2025-03-12,301000,2,1,732,6752,Saint Paul,815 Iowa Ave W,55117,44.989337,-93.13419
2025-03-04,297000,2025-04-10,309000,3,2,1418,4966,Saint Paul,781 Howell St N,55104,44.964694,-93.181411
2024-11-08,265000,2025-01-03,270000,3,1.5,1277,4530,Saint Paul,453 Maryland Ave E,55130,44.977626,-93.081493
2024-11-04,279900,2025-02-12,299000,3,1,1262,4617,Saint Paul,805 Cherokee Ave,55107,44.921886,-93.104983
2025-03-29,274900,2025-05-23,291278,4,2,1948,5445,Saint Paul,1278 Woodbridge St,55117,44.979692,-93.108102
2025-03-14,998500,2025-05-15,1052000,4,2.5+,4201,12632,Saint Paul,832 Osceola Ave,55105,44.935321,-93.135161
2025-05-27,310000,2025-05-27,310000,1,2.5,1153,4922,Saint Paul,1285 Juno Ave,55116,44.926303,-93.154627
2025-05-01,420000,2025-05-27,442750,3,2.5,1814,7492,Saint Paul,1381 Nebraska Ave W,55108,44.986696,-93.158433
2025-03-31,265000,2025-05-22,270000,2,1,919,5227,Saint Paul,985 Seminary Ave,55104,44.965051,-93.141891
2025-04-24,314900,2025-05-27,325000,3,1.5,918,4966,Saint Paul,882 Bayard Ave,55102,44.922127,-93.137404
2025-04-21,460000,2025-05-16,478000,4,3,2186,8930,Saint Paul,1464 Laurel Ave,55104,44.944706,-93.162114
2024-10-21,359000,2025-01-24,340000,5,2,2240,6534,Saint Paul,1233 Prosperity Ave,55106,44.978727,-93.040014
2025-04-07,439900,2025-05-01,453000,4,2,2107,5053,Saint Paul,2011 James Ave,55105,44.928224,-93.185334
2025-02-28,330000,2025-04-04,339000,3,2,1524,7405,Saint Paul,688 Nebraska Ave E,55106,44.986252,-93.071553
2025-03-25,495000,2025-04-25,530000,3,2,1776,4922,Saint Paul,1415 Wellesley Ave,55105,44.931769,-93.160044
2025-04-03,590000,2025-05-15,605000,4,2.5,2397,7492,Saint Paul,1914 Selby Ave,55104,44.945891,-93.18135
2025-02-13,750000,2025-03-24,765000,3,1.5+,2670,6011,Saint Paul,2294 Saint Clair Ave,55105,44.934048,-93.197256
2025-03-21,159900,2025-04-28,165000,1,1,814,4966,Saint Paul,622 Wells St,55130,44.967273,-93.074369
2025-03-20,294900,2025-05-05,302000,3,2,1850,5140,Saint Paul,1985 4th St E,55119,44.958815,-93.016573
2025-01-09,299900,2025-02-11,333000,3,1.5,1637,5881,Saint Paul,999 Armstrong Ave,55102,44.925317,-93.14238
2025-03-05,335000,2025-04-28,345000,3,2,1310,14549,Saint Paul,640 Iowa Ave W,55117,44.98864,-93.127379
2025-03-06,150000,2025-03-26,175000,3,1,1092,4879,Saint Paul,109 Geranium Ave W,55117,44.975841,-93.104698
2025-04-22,210000,2025-05-23,215000,3,2,420,4966,Saint Paul,768 Magnolia Ave E,55106,44.973629,-93.068103
2025-03-13,250000,2025-05-15,265000,3,1,1226,4792,Saint Paul,1117 Jenks Ave,55106,44.971497,-93.053479
2025-03-26,215000,2025-05-08,250000,4,2,1914,4487,Saint Paul,935 Jenks Ave,55106,44.971484,-93.06122
,,2025-03-31,210000,3,2,1362,9540,Saint Paul,1337 Ross Ave,55106,44.966115,-93.044351
2025-04-10,350000,2025-05-02,359000,3,1.5,1168,4574,Saint Paul,807 Delaware Ave,55107,44.921768,-93.106186
2025-04-26,150000,2025-05-23,150000,3,1,1415,5271,Saint Paul,1005 Galtier St,55117,44.971651,-93.11143
2025-04-18,405900,2025-05-27,426000,4,2,2200,6273,Saint Paul,84 Hatch Ave W,55117,44.970886,-93.103553
2025-02-25,524999,2025-03-14,586000,3,1.5,1658,5009,Saint Paul,2152 Berkeley Ave,55105,44.933157,-93.191356
2025-04-22,450000,2025-05-14,465000,4,2,1878,4966,Saint Paul,1426 Scheffer Ave,55116,44.92128,-93.160505
2025-03-28,374900,2025-05-13,385000,3,1.5,1800,9714,Saint Paul,42 Darlene St,55119,44.942275,-93.018525
2024-10-02,199000,2024-12-19,206000,3,1,1215,8015,Saint Paul,1159 Seminary Ave,55104,44.965062,-93.148929
2025-05-02,1300000,2025-05-30,1300000,5,3.5,5506,7144,Saint Paul,463 Ashland Ave,55102,44.944695,-93.11967
2025-04-09,199900,2025-05-22,209500,1,1,823,4966,Saint Paul,408 Erie St,55102,44.929059,-93.121644
2025-02-13,599900,2025-03-17,616500,4,2.5+,2504,5968,Saint Paul,1168 Laurel Ave,55104,44.944722,-93.149593
2025-03-10,599900,2025-04-14,570000,7,3,4195,16553,Saint Paul,2376 Bayless Pl,55114,44.968265,-93.201
2025-04-23,250000,2025-05-27,270000,3,1,1067,5009,Saint Paul,1259 Hubbard Ave,55104,44.965922,-93.153301
2025-02-28,324900,2025-05-29,324900,2,2,1399,5837,Saint Paul,1952 Field Ave,55116,44.902205,-93.182741
2025-04-28,575000,2025-05-29,610000,3,2,1849,4966,Saint Paul,880 Osceola Ave,55105,44.935446,-93.137367
2025-04-21,225000,2025-05-29,228500,3,1,1651,6273,Saint Paul,1680 Westminster St,55130,44.991658,-93.085934
2025-04-08,525000,2025-05-15,525000,4,1.5,2574,5968,Saint Paul,1688 Laurel Ave,55104,44.944729,-93.171684
2025-02-12,240000,2025-05-16,245500,3,2,1216,4966,Saint Paul,873 Ohio St,55107,44.919994,-93.097914
2025-04-04,199900,2025-05-19,210000,3,1,1166,5009,Saint Paul,1271 Marion St,55117,44.979539,-93.110102
2025-04-28,725000,2025-05-30,800000,4,1.5,2400,7362,Saint Paul,1281 Como Blvd W,55103,44.979093,-93.143988
2025-04-01,343000,2025-05-30,348000,4,1.5,1408,4792,Saint Paul,709 Stewart Ave,55102,44.922505,-93.129663
